column,dtype,category,n_unique,pct_nan
PC_127,float64,feature,2163650,0.0
PC_128,float64,feature,2163650,0.0
PC_129,float64,feature,2163650,0.0
PC_130,float64,feature,2163650,0.0
PC_131,float64,feature,2163650,0.0
PC_132,float64,feature,2163650,0.0
PC_133,float64,feature,2163650,0.0
PC_134,float64,feature,2163650,0.0
PC_135,float64,feature,2163650,0.0
PC_136,float64,feature,2163650,0.0
PC_137,float64,feature,2163650,0.0
PC_138,float64,feature,2163650,0.0
PC_139,float64,feature,2163650,0.0
PC_140,float64,feature,2163650,0.0
PC_141,float64,feature,2163650,0.0
PC_142,float64,feature,2163650,0.0
PC_143,float64,feature,2163650,0.0
PC_144,float64,feature,2163650,0.0
PC_145,float64,feature,2163650,0.0
PC_146,float64,feature,2163650,0.0
PC_147,float64,feature,2163650,0.0
PC_148,float64,feature,2163650,0.0
PC_149,float64,feature,2163650,0.0
PC_150,float64,feature,2163650,0.0
PC_151,float64,feature,2163650,0.0
PC_152,float64,feature,2163650,0.0
PC_153,float64,feature,2163650,0.0
PC_154,float64,feature,2163650,0.0
PC_155,float64,feature,2163650,0.0
PC_156,float64,feature,2163650,0.0
PC_157,float64,feature,2163650,0.0
PC_158,float64,feature,2163650,0.0
PC_159,float64,feature,2163650,0.0
PC_160,float64,feature,2163650,0.0
PC_161,float64,feature,2163650,0.0
PC_162,float64,feature,2163650,0.0
PC_163,float64,feature,2163650,0.0
PC_164,float64,feature,2163650,0.0
PC_165,float64,feature,2163650,0.0
PC_166,float64,feature,2163650,0.0
PC_167,float64,feature,2163650,0.0
PC_168,float64,feature,2163650,0.0
PC_169,float64,feature,2163650,0.0
PC_170,float64,feature,2163650,0.0
PC_171,float64,feature,2163650,0.0
PC_172,float64,feature,2163650,0.0
PC_173,float64,feature,2163650,0.0
PC_174,float64,feature,2163650,0.0
PC_175,float64,feature,2163650,0.0
PC_176,float64,feature,2163650,0.0
PC_177,float64,feature,2163650,0.0
PC_178,float64,feature,2163650,0.0
PC_179,float64,feature,2163650,0.0
PC_180,float64,feature,2163650,0.0
PC_181,float64,feature,2163650,0.0
PC_182,float64,feature,2163650,0.0
PC_183,float64,feature,2163650,0.0
PC_184,float64,feature,2163650,0.0
PC_185,float64,feature,2163650,0.0
PC_186,float64,feature,2163650,0.0
PC_187,float64,feature,2163650,0.0
PC_188,float64,feature,2163650,0.0
PC_189,float64,feature,2163650,0.0
PC_190,float64,feature,2163650,0.0
PC_191,float64,feature,2163650,0.0
PC_192,float64,feature,2163650,0.0
PC_193,float64,feature,2163650,0.0
PC_194,float64,feature,2163650,0.0
PC_195,float64,feature,2163650,0.0
PC_196,float64,feature,2163650,0.0
PC_197,float64,feature,2163650,0.0
PC_198,float64,feature,2163650,0.0
PC_199,float64,feature,2163650,0.0
PC_200,float64,feature,2163650,0.0
PC_201,float64,feature,2163650,0.0
PC_202,float64,feature,2163650,0.0
PC_203,float64,feature,2163650,0.0
PC_204,float64,feature,2163650,0.0
PC_205,float64,feature,2163650,0.0
PC_206,float64,feature,2163650,0.0
PC_207,float64,feature,2163650,0.0
PC_208,float64,feature,2163650,0.0
PC_209,float64,feature,2163650,0.0
PC_210,float64,feature,2163650,0.0
PC_211,float64,feature,2163650,0.0
PC_212,float64,feature,2163650,0.0
PC_213,float64,feature,2163650,0.0
PC_214,float64,feature,2163650,0.0
PC_215,float64,feature,2163650,0.0
PC_216,float64,feature,2163650,0.0
PC_217,float64,feature,2163650,0.0
PC_218,float64,feature,2163650,0.0
PC_219,float64,feature,2163650,0.0
PC_220,float64,feature,2163650,0.0
PC_221,float64,feature,2163650,0.0
PC_222,float64,feature,2163650,0.0
PC_223,float64,feature,2163650,0.0
PC_224,float64,feature,2163650,0.0
PC_225,float64,feature,2163650,0.0
PC_226,float64,feature,2163650,0.0
PC_227,float64,feature,2163650,0.0
PC_228,float64,feature,2163650,0.0
PC_229,float64,feature,2163650,0.0
PC_230,float64,feature,2163650,0.0
PC_231,float64,feature,2163650,0.0
PC_232,float64,feature,2163650,0.0
PC_233,float64,feature,2163650,0.0
PC_234,float64,feature,2163650,0.0
PC_235,float64,feature,2163650,0.0
PC_236,float64,feature,2163650,0.0
PC_237,float64,feature,2163650,0.0
PC_238,float64,feature,2163650,0.0
PC_239,float64,feature,2163650,0.0
PC_240,float64,feature,2163650,0.0
PC_241,float64,feature,2163650,0.0
PC_242,float64,feature,2163650,0.0
PC_243,float64,feature,2163650,0.0
PC_244,float64,feature,2163650,0.0
PC_245,float64,feature,2163650,0.0
PC_246,float64,feature,2163650,0.0
PC_247,float64,feature,2163650,0.0
PC_248,float64,feature,2163650,0.0
PC_249,float64,feature,2163650,0.0
PC_250,float64,feature,2163650,0.0
PC_251,float64,feature,2163650,0.0
PC_252,float64,feature,2163650,0.0
PC_253,float64,feature,2163650,0.0
PC_254,float64,feature,2163650,0.0
PC_255,float64,feature,2163650,0.0
PC_256,float64,feature,2163650,0.0
PC_257,float64,feature,2163650,0.0
PC_258,float64,feature,2163650,0.0
PC_259,float64,feature,2163650,0.0
PC_260,float64,feature,2163650,0.0
PC_261,float64,feature,2163650,0.0
PC_262,float64,feature,2163650,0.0
PC_263,float64,feature,2163650,0.0
PC_264,float64,feature,2163650,0.0
PC_265,float64,feature,2163650,0.0
PC_266,float64,feature,2163650,0.0
PC_267,float64,feature,2163650,0.0
PC_268,float64,feature,2163650,0.0
PC_269,float64,feature,2163650,0.0
PC_270,float64,feature,2163650,0.0
PC_271,float64,feature,2163650,0.0
PC_272,float64,feature,2163650,0.0
PC_273,float64,feature,2163650,0.0
PC_274,float64,feature,2163650,0.0
PC_275,float64,feature,2163650,0.0
PC_276,float64,feature,2163650,0.0
PC_277,float64,feature,2163650,0.0
PC_278,float64,feature,2163650,0.0
PC_279,float64,feature,2163650,0.0
PC_280,float64,feature,2163650,0.0
PC_281,float64,feature,2163650,0.0
PC_282,float64,feature,2163650,0.0
PC_283,float64,feature,2163650,0.0
PC_284,float64,feature,2163650,0.0
PC_285,float64,feature,2163650,0.0
PC_286,float64,feature,2163650,0.0
PC_287,float64,feature,2163650,0.0
PC_288,float64,feature,2163650,0.0
PC_289,float64,feature,2163650,0.0
PC_290,float64,feature,2163650,0.0
PC_291,float64,feature,2163650,0.0
PC_292,float64,feature,2163650,0.0
PC_293,float64,feature,2163650,0.0
PC_294,float64,feature,2163650,0.0
PC_295,float64,feature,2163650,0.0
PC_296,float64,feature,2163650,0.0
PC_297,float64,feature,2163650,0.0
PC_298,float64,feature,2163650,0.0
PC_299,float64,feature,2163650,0.0
PC_300,float64,feature,2163650,0.0
PC_301,float64,feature,2163650,0.0
PC_302,float64,feature,2163650,0.0
PC_303,float64,feature,2163650,0.0
PC_304,float64,feature,2163650,0.0
PC_305,float64,feature,2163650,0.0
PC_306,float64,feature,2163650,0.0
PC_307,float64,feature,2163650,0.0
PC_308,float64,feature,2163650,0.0
PC_309,float64,feature,2163650,0.0
PC_310,float64,feature,2163650,0.0
PC_311,float64,feature,2163650,0.0
PC_312,float64,feature,2163650,0.0
PC_313,float64,feature,2163650,0.0
PC_314,float64,feature,2163650,0.0
PC_315,float64,feature,2163650,0.0
PC_316,float64,feature,2163650,0.0
PC_317,float64,feature,2163650,0.0
PC_318,float64,feature,2163650,0.0
PC_319,float64,feature,2163650,0.0
PC_320,float64,feature,2163650,0.0
PC_321,float64,feature,2163650,0.0
PC_322,float64,feature,2163650,0.0
PC_323,float64,feature,2163650,0.0
PC_324,float64,feature,2163650,0.0
PC_325,float64,feature,2163650,0.0
PC_326,float64,feature,2163650,0.0
PC_327,float64,feature,2163650,0.0
PC_328,float64,feature,2163650,0.0
PC_329,float64,feature,2163650,0.0
PC_330,float64,feature,2163650,0.0
PC_331,float64,feature,2163650,0.0
PC_332,float64,feature,2163650,0.0
PC_333,float64,feature,2163650,0.0
PC_334,float64,feature,2163650,0.0
PC_335,float64,feature,2163650,0.0
PC_336,float64,feature,2163650,0.0
PC_337,float64,feature,2163650,0.0
PC_338,float64,feature,2163650,0.0
PC_339,float64,feature,2163650,0.0
PC_340,float64,feature,2163650,0.0
PC_341,float64,feature,2163650,0.0
PC_342,float64,feature,2163650,0.0
PC_343,float64,feature,2163650,0.0
PC_344,float64,feature,2163650,0.0
PC_345,float64,feature,2163650,0.0
PC_346,float64,feature,2163650,0.0
PC_347,float64,feature,2163650,0.0
PC_348,float64,feature,2163650,0.0
PC_349,float64,feature,2163650,0.0
PC_350,float64,feature,2163650,0.0
PC_351,float64,feature,2163650,0.0
PC_352,float64,feature,2163650,0.0
PC_353,float64,feature,2163650,0.0
PC_354,float64,feature,2163650,0.0
PC_355,float64,feature,2163650,0.0
PC_356,float64,feature,2163650,0.0
PC_357,float64,feature,2163650,0.0
PC_358,float64,feature,2163650,0.0
PC_359,float64,feature,2163650,0.0
PC_360,float64,feature,2163650,0.0
PC_361,float64,feature,2163650,0.0
PC_362,float64,feature,2163650,0.0
PC_363,float64,feature,2163650,0.0
PC_364,float64,feature,2163650,0.0
PC_365,float64,feature,2163650,0.0
PC_366,float64,feature,2163650,0.0
PC_367,float64,feature,2163650,0.0
PC_368,float64,feature,2163650,0.0
PC_369,float64,feature,2163650,0.0
PC_370,float64,feature,2163650,0.0
PC_371,float64,feature,2163650,0.0
PC_372,float64,feature,2163650,0.0
PC_373,float64,feature,2163650,0.0
PC_374,float64,feature,2163650,0.0
PC_375,float64,feature,2163650,0.0
PC_376,float64,feature,2163650,0.0
PC_377,float64,feature,2163650,0.0
PC_378,float64,feature,2163650,0.0
PC_379,float64,feature,2163650,0.0
PC_380,float64,feature,2163650,0.0
PC_381,float64,feature,2163650,0.0
PC_382,float64,feature,2163650,0.0
PC_383,float64,feature,2163650,0.0
PC_384,float64,feature,2163650,0.0
PC_385,float64,feature,2163650,0.0
PC_386,float64,feature,2163650,0.0
PC_387,float64,feature,2163650,0.0
PC_388,float64,feature,2163650,0.0
PC_389,float64,feature,2163650,0.0
PC_390,float64,feature,2163650,0.0
PC_391,float64,feature,2163650,0.0
PC_392,float64,feature,2163650,0.0
PC_393,float64,feature,2163650,0.0
PC_394,float64,feature,2163650,0.0
PC_395,float64,feature,2163650,0.0
PC_396,float64,feature,2163650,0.0
PC_397,float64,feature,2163650,0.0
PC_398,float64,feature,2163650,0.0
PC_399,float64,feature,2163650,0.0
PC_400,float64,feature,2163650,0.0
PC_401,float64,feature,2163650,0.0
PC_402,float64,feature,2163650,0.0
PC_403,float64,feature,2163650,0.0
PC_404,float64,feature,2163650,0.0
PC_405,float64,feature,2163650,0.0
PC_406,float64,feature,2163650,0.0
